,user_id,user_text,intent,slots,entities,action,response_text
0,U9Q3FND6E,Hi,"{'confidence': 0.8896805690237792, 'name': 'hello'}","{'date-period': None, 'discover-artist': None, 'doremus-artist': None, 'doremus-genre': None, 'doremus-instrument': None, 'doremus-strictly': None, 'geo-city': None, 'number': None, 'requested_slot': None, 'works-by-followup': None}",[],input_welcome,Hi! Everyday I try to learn as much as possible about music. Try me if you dont believe it!
1,U9Q3FND6E,Tell me one work by Beethoven,"{'confidence': 0.6796165144335103, 'name': 'works-by'}","{'date-period': None, 'discover-artist': None, 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-genre': None, 'doremus-instrument': None, 'doremus-strictly': None, 'geo-city': None, 'number': 'one', 'requested_slot': None, 'works-by-followup': None}","[{'confidence': 0.8438109938911877, 'end': 11, 'entity': 'number', 'extractor': 'ner_crf', 'start': 8, 'value': 'one'}, {'confidence': 0.9982867349480771, 'end': 29, 'entity': 'doremus-artist', 'extractor': 'ner_crf', 'processors': ['ner_synonyms'], 'start': 20, 'value': '6963af5e-b126-3d40-a84b-97e0b78f5452'}, {'confidence': None, 'end': 11, 'entity': 'CARDINAL', 'extractor': 'ner_spacy', 'start': 8, 'value': 'one'}, {'confidence': None, 'end': 29, 'entity': 'PERSON', 'extractor': 'ner_spacy', 'processors': ['ner_synonyms'], 'start': 20, 'value': '6963af5e-b126-3d40-a84b-97e0b78f5452'}]",works_by,"No problem! Do you want to add some filters? Like the artist, instruments, genre or composition period."
2,U9Q3FND6E,Tell me one work by Beethoven,"{'confidence': 0.6796165144335103, 'name': 'works-by'}","{'date-period': None, 'discover-artist': None, 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-genre': None, 'doremus-instrument': None, 'doremus-strictly': None, 'geo-city': None, 'number': 'one', 'requested_slot': None, 'works-by-followup': None}","[{'confidence': 0.8438109938911877, 'end': 11, 'entity': 'number', 'extractor': 'ner_crf', 'start': 8, 'value': 'one'}, {'confidence': 0.9982867349480771, 'end': 29, 'entity': 'doremus-artist', 'extractor': 'ner_crf', 'processors': ['ner_synonyms'], 'start': 20, 'value': '6963af5e-b126-3d40-a84b-97e0b78f5452'}, {'confidence': None, 'end': 11, 'entity': 'CARDINAL', 'extractor': 'ner_spacy', 'start': 8, 'value': 'one'}, {'confidence': None, 'end': 29, 'entity': 'PERSON', 'extractor': 'ner_spacy', 'processors': ['ner_synonyms'], 'start': 20, 'value': '6963af5e-b126-3d40-a84b-97e0b78f5452'}]",works_by,"Sure! Do you want to add some filters? Like the artist, instruments, genre or composition period."
3,U9Q3FND6E,Yes thanks!,"{'confidence': 0.7443427404719587, 'name': 'works-by - yes'}","{'date-period': None, 'discover-artist': None, 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-genre': None, 'doremus-instrument': None, 'doremus-strictly': None, 'geo-city': None, 'number': 'one', 'requested_slot': None, 'works-by-followup': None}",[],works_by_works_by_yes,"Ok, tell me what"
4,U9Q3FND6E,hi,"{'confidence': 0.8896805690237792, 'name': 'hello'}","{'date-period': None, 'discover-artist': None, 'doremus-artist': None, 'doremus-genre': None, 'doremus-instrument': None, 'doremus-strictly': None, 'geo-city': None, 'number': None, 'requested_slot': None, 'works-by-followup': None}",[],input_welcome,Hello!
5,U9Q3FND6E,hi,"{'confidence': 0.8896805690237792, 'name': 'hello'}","{'date-period': None, 'discover-artist': None, 'doremus-artist': None, 'doremus-genre': None, 'doremus-instrument': None, 'doremus-strictly': None, 'geo-city': None, 'number': None, 'requested_slot': None, 'works-by-followup': None}",[],input_welcome,Hello!
6,U9Q3FND6E,Tell me one work by Beethoven,"{'confidence': 0.6796165144335103, 'name': 'works-by'}","{'date-period': None, 'discover-artist': None, 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-genre': None, 'doremus-instrument': None, 'doremus-strictly': None, 'geo-city': None, 'number': 'one', 'requested_slot': None, 'works-by-followup': None}","[{'confidence': 0.8438109938911877, 'end': 11, 'entity': 'number', 'extractor': 'ner_crf', 'start': 8, 'value': 'one'}, {'confidence': 0.9982867349480771, 'end': 29, 'entity': 'doremus-artist', 'extractor': 'ner_crf', 'processors': ['ner_synonyms'], 'start': 20, 'value': '6963af5e-b126-3d40-a84b-97e0b78f5452'}, {'confidence': None, 'end': 11, 'entity': 'CARDINAL', 'extractor': 'ner_spacy', 'start': 8, 'value': 'one'}, {'confidence': None, 'end': 29, 'entity': 'PERSON', 'extractor': 'ner_spacy', 'processors': ['ner_synonyms'], 'start': 20, 'value': '6963af5e-b126-3d40-a84b-97e0b78f5452'}]",works_by,"Ok! Do you want to add some filters? Like the artist, instruments, genre or composition period."
7,U9Q3FND6E,Yes thanks!,"{'confidence': 0.7443427404719587, 'name': 'works-by - yes'}","{'date-period': None, 'discover-artist': None, 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-genre': None, 'doremus-instrument': None, 'doremus-strictly': None, 'geo-city': None, 'number': 'one', 'requested_slot': None, 'works-by-followup': None}",[],works_by_works_by_yes,"Ok, tell me what"
8,U9Q3FND6E,An instrument,"{'confidence': 0.38661300307052643, 'name': 'works-by-instrument'}","{'date-period': None, 'discover-artist': None, 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-genre': None, 'doremus-instrument': None, 'doremus-strictly': None, 'geo-city': None, 'number': 'one', 'requested_slot': 'doremus-instrument', 'works-by-followup': None}",[],works_by_instrument,Ok! Just tell me the instrument
9,U9Q3FND6E,/Default Fallback Intent,"{'confidence': 1.0, 'name': 'Default Fallback Intent'}","{'date-period': None, 'discover-artist': None, 'doremus-artist': None, 'doremus-genre': None, 'doremus-instrument': None, 'doremus-strictly': None, 'geo-city': None, 'number': None, 'requested_slot': None, 'works-by-followup': None}",[],input_unknown,Say that again?
